User ID	#search	#chat	#bookmark	#view						
A1	23	29	3	73						
A2	11	32	0	35						
A3	19	23	1	30						
B1	8	35	2	61						
B2	14	12	2	81						
B3	13	36	4	91						
C1	16	19	3	73						
C2	20	38	2	76						
C3	16	25	3	72						
D1	11	14	1	100						
D2	13	31	5	56						
D3	42	32	20	60						
E1	4	12	0	7						
E2	4	15	0	12						
E3	2	19	1	2						
F1	8	40	2	42						
F2	6	43	3	27						
F3	7	60	3	31						
G1	27	77	8	50						
G2	40	78	9	53						
G3	15	31	2	37						
H1	12	35	2	8						
H2	11	33	5	14						
H3	11	36	2	19						
