User ID	#vote as leader	Satisfaction with conclusion	Whether to search enough	Whether to discuss enough	Whether to claim my opinion	Whether conclusion reflects my opinion
A1	3	5	5	5	5	5
A2	0	5	5	5	4	5
A3	0	4	2	4	4	5
B1	2	4	2	3	4	5
B2	0	5	5	4	4	4
B3	1	4	4	5	5	5
C1	1	5	4	4	5	5
C2	1	4	4	4	4	4
C3	1	4	4	4	5	5
D1	0	4	2	5	4	4
D2	2	5	5	4	4	5
D3	1	4	4	4	4	3
E1	0	4	3	4	4	3
E2	0	5	3	4	3	3
E3	3	3	1	2	4	5
F1	0	5	4	4	3	4
F2	2	5	4	5	5	5
F3	1	5	3	5	4	3
G1	0	4	4	3	4	3
G2	3	5	3	5	4	5
G3	0	4	3	4	5	5
H1	0	5	2	5	4	5
H2	3	5	3	3	5	4
H3	0	5	4	5	5	5
